SeniorCitizen,tenure,MonthlyCharges,Churn,gender_Male,Dependents_Yes,PhoneService_Yes,MultipleLines_Yes,InternetService_Fiber optic,Contract_One year,Contract_Two year
0,1,25,1,False,False,False,False,False,False,False
0,41,25,0,True,False,True,False,False,True,False
0,52,19,0,False,True,True,False,False,False,False
0,1,76,1,False,False,True,False,False,True,False
0,67,51,0,True,False,True,False,True,False,False
1,68,90,1,False,False,True,True,True,False,False
0,23,77,0,False,True,True,True,True,False,False
0,72,72,0,True,True,True,False,False,False,False
0,70,104,1,True,False,True,True,True,False,False
0,1,19,1,True,False,True,False,False,True,False
0,1,20,0,True,False,True,False,False,False,False
0,34,84,0,True,True,True,False,False,False,True
1,28,51,0,True,True,True,True,True,True,False
1,18,85,1,False,False,True,True,True,False,False
0,15,20,0,False,False,True,False,True,False,False
1,11,95,1,False,False,True,True,True,False,True
0,11,54,1,True,False,True,False,False,True,False
0,1,70,1,True,True,True,True,True,False,True
0,37,89,0,False,True,True,False,False,False,False
0,22,89,1,True,True,True,False,True,False,False
0,1,70,0,False,False,True,False,False,False,False
0,1,19,0,False,True,True,False,False,True,False
0,46,80,0,True,True,True,False,False,False,False
0,51,107,0,False,False,True,True,False,False,True
0,41,104,0,False,False,True,False,False,False,False
0,5,68,1,False,False,True,False,False,False,False
0,45,89,1,False,False,True,True,True,False,False
0,29,60,0,True,True,True,False,False,False,False
1,15,92,0,False,False,True,True,False,False,True
0,72,64,0,True,False,False,False,False,False,False
0,50,104,0,True,False,True,True,True,False,True
0,27,21,0,True,True,True,False,True,False,False
0,72,85,0,True,False,True,False,False,True,False
0,51,70,0,False,True,True,False,False,False,False
0,60,94,0,False,False,True,False,False,False,False
0,17,19,0,True,False,True,True,True,False,True
0,72,21,0,False,False,True,False,True,False,False
0,33,104,1,False,False,True,False,True,False,False
1,66,105,0,False,True,True,True,True,False,False
0,69,104,1,False,True,True,True,True,False,False
0,5,70,1,True,False,True,False,False,True,False
0,57,101,0,False,False,True,True,False,False,True
1,8,76,1,False,False,True,False,False,True,False
0,14,51,0,False,False,True,True,False,False,True
0,25,95,1,True,False,True,True,False,False,False
0,52,20,0,False,True,True,True,True,False,False
1,7,76,1,False,False,True,False,False,False,False
0,13,80,1,True,False,True,False,True,False,False
1,15,90,1,False,False,True,True,False,False,True
0,22,55,1,True,False,True,True,False,False,True
0,19,20,0,False,False,True,True,True,False,False
0,23,30,0,True,True,False,False,True,False,False
0,72,114,0,False,False,True,True,False,False,False
1,72,98,0,True,False,True,True,True,False,False
0,59,97,0,False,True,True,False,False,True,False
0,70,75,0,False,True,True,True,True,False,False
0,70,101,0,True,True,True,True,True,True,False
0,9,103,0,True,True,True,True,True,True,False
0,3,25,0,False,False,True,True,False,False,True
1,17,102,0,True,False,True,True,True,False,True
0,28,70,0,False,True,True,True,True,False,False
0,10,54,0,False,False,True,True,True,False,False
0,11,21,0,True,True,True,False,False,False,True
1,72,103,0,True,False,True,False,False,True,False
0,8,70,1,True,False,True,True,True,False,False
1,69,20,0,True,False,True,False,False,False,False
0,39,20,0,False,True,True,True,True,True,False
0,67,51,0,True,True,False,False,False,False,True
0,39,20,0,True,False,True,False,False,False,True
0,54,66,0,True,True,True,False,True,False,False
0,1,74,1,False,False,True,False,False,False,False
0,72,60,0,False,True,False,False,False,True,False
0,10,99,1,True,False,True,True,True,False,True
0,13,97,1,True,True,True,True,False,False,True
0,35,99,0,False,False,True,False,False,False,False
0,12,36,0,True,True,False,True,True,True,False
0,31,91,0,True,False,True,False,False,True,False
0,53,108,0,False,True,True,False,False,False,False
0,1,20,0,True,False,True,False,False,False,False
0,30,20,0,True,False,True,True,False,True,False
0,46,75,0,False,False,True,False,True,False,False
0,19,90,1,False,False,True,False,False,False,False
0,23,54,0,False,False,True,False,True,False,False
1,15,55,1,False,False,True,False,True,False,False
0,48,20,0,True,False,True,False,False,False,True
0,25,96,1,True,True,True,True,True,False,False
0,52,105,1,True,False,True,False,False,True,False
0,12,82,1,True,False,True,False,False,False,True
0,48,25,0,False,False,True,False,False,False,True
0,38,20,0,False,False,True,False,False,False,False
0,18,35,0,False,False,False,False,True,False,False
0,45,50,0,False,False,True,False,True,False,False
0,12,90,0,True,False,True,True,False,False,True
1,66,102,0,False,False,True,True,True,False,False
0,72,20,0,False,False,True,True,True,False,True
0,70,45,0,False,False,False,True,True,False,False
0,27,90,0,False,False,True,True,False,True,False
0,1,20,0,True,False,True,False,False,False,False
1,13,95,1,True,False,True,False,False,False,True
0,65,90,0,False,True,True,False,True,False,False
0,14,70,0,False,True,True,False,False,False,False
0,17,85,1,False,True,True,False,False,False,False
0,31,21,0,False,False,True,True,True,True,False
0,24,24,0,True,True,True,False,False,True,False
0,3,20,0,False,False,True,True,True,False,True
0,17,77,1,True,False,True,False,False,False,False
0,66,69,0,True,False,True,True,True,True,False
0,45,53,0,True,False,True,False,False,True,False
0,35,92,0,True,False,True,True,True,True,False
0,40,40,0,True,True,False,False,False,False,True
0,10,85,1,False,False,True,True,True,False,False
0,52,64,0,False,False,True,False,False,True,False
0,13,19,0,False,False,True,False,True,False,False
1,43,90,0,False,False,True,True,True,False,False
0,41,20,0,False,False,True,False,False,False,True
1,52,50,0,False,False,False,False,True,False,False
0,71,93,0,False,False,True,False,False,False,True
0,61,106,0,True,False,True,True,True,False,False
0,26,44,0,False,False,False,False,False,False,True
0,72,68,0,True,True,True,True,True,False,False
0,42,78,0,False,False,True,True,True,True,False
